driver_id,week_number,total_requests,accepted_rides,cancelled_rides,peak_rides_accepted,difficult_rides_accepted,raw_acceptance_score,effective_acceptance_score,decayed_score,period,period_score,is_reset_week,final_score
D002,10,42,25,3,7,2,0.5952380952380952,0.5238095238095238,0.6354275483803863,2,0.5832720066538195,False,0.6354275483803863
D002,11,27,19,1,1,4,0.7037037037037037,0.6666666666666666,0.6410551586861091,2,0.5832720066538195,False,0.6410551586861091
D002,12,38,18,1,5,3,0.47368421052631576,0.4473684210526316,0.6071842971855289,2,0.5832720066538195,False,0.6071842971855289
D002,13,35,25,1,6,5,0.7142857142857143,0.6857142857142857,0.6205838784513624,2,0.5832720066538195,False,0.6205838784513624
D002,14,25,13,2,1,0,0.52,0.44,0.5903936576709953,2,0.5832720066538195,False,0.5903936576709953
D002,15,29,20,3,2,3,0.6896551724137931,0.5862068965517241,0.5897055329011944,2,0.5832720066538195,False,0.5897055329011944
D002,16,20,14,3,3,1,0.7,0.55,0.5832720066538195,2,0.5832720066538195,False,0.5832720066538195
D002,17,35,25,0,2,0,0.7142857142857143,0.7142857142857143,0.6042479247996623,3,0.5655722745991039,True,0.0
D002,18,39,30,4,2,4,0.7692307692307693,0.6666666666666666,0.6141414903517588,3,0.5655722745991039,False,0.6141414903517588
D002,19,23,17,2,4,2,0.7391304347826086,0.6521739130434783,0.6201189213096557,3,0.5655722745991039,False,0.6201189213096557
D002,20,36,21,1,4,3,0.5833333333333334,0.5555555555555556,0.6100439138830109,3,0.5655722745991039,False,0.6100439138830109
D002,21,43,23,6,1,3,0.5348837209302325,0.3953488372093023,0.5767425178618507,3,0.5655722745991039,False,0.5767425178618507
D002,22,27,20,1,3,3,0.7407407407407407,0.7037037037037037,0.5963353692703676,3,0.5655722745991039,False,0.5963353692703676
D002,23,40,26,4,7,2,0.65,0.55,0.5892155903800966,3,0.5655722745991039,False,0.5892155903800966
D002,24,23,11,1,2,2,0.4782608695652174,0.43478260869565216,0.5655722745991039,3,0.5655722745991039,False,0.5655722745991039
D003,1,43,30,3,8,7,0.6976744186046512,0.627906976744186,0.627906976744186,1,0.5390955140875875,True,0.0
D003,2,23,14,1,2,3,0.6086956521739131,0.5652173913043478,0.5940207143442735,1,0.5390955140875875,False,0.5940207143442735
D003,3,38,25,3,2,7,0.6578947368421053,0.5789473684210527,0.5881612990194063,1,0.5390955140875875,False,0.5881612990194063
D003,4,39,23,2,1,4,0.5897435897435898,0.5384615384615384,0.5725649359211855,1,0.5390955140875875,False,0.5725649359211855
D003,5,47,28,1,2,3,0.5957446808510638,0.574468085106383,0.5730781034638462,1,0.5390955140875875,False,0.5730781034638462
D003,6,21,9,1,0,0,0.42857142857142855,0.38095238095238093,0.5268087995142183,1,0.5390955140875875,False,0.5268087995142183
D003,7,44,31,5,4,2,0.7045454545454546,0.5909090909090909,0.5409605797138403,1,0.5390955140875875,False,0.5409605797138403
D003,8,47,29,4,6,3,0.6170212765957447,0.5319148936170213,0.5390955140875875,1,0.5390955140875875,False,0.5390955140875875
D003,9,41,25,3,5,1,0.6097560975609756,0.5365853658536586,0.5386054951663372,2,0.5810500699273562,True,0.0
D003,10,32,22,2,4,2,0.6875,0.625,0.5547414218446687,2,0.5810500699273562,False,0.5547414218446687
D003,11,43,29,1,1,3,0.6744186046511628,0.6511627906976745,0.5721113707682074,2,0.5810500699273562,False,0.5721113707682074
D003,12,41,32,5,4,5,0.7804878048780488,0.6585365853658537,0.5872249325410029,2,0.5810500699273562,False,0.5872249325410029
D003,13,34,27,5,3,5,0.7941176470588235,0.6470588235294118,0.5974343964639043,2,0.5810500699273562,False,0.5974343964639043
D003,14,40,28,3,4,3,0.7,0.625,0.6020428458107431,2,0.5810500699273562,False,0.6020428458107431
D003,15,27,16,2,2,0,0.5925925925925926,0.5185185185185185,0.5883150125636581,2,0.5810500699273562,False,0.5883150125636581
D003,16,46,32,7,5,9,0.6956521739130435,0.5434782608695652,0.5810500699273562,2,0.5810500699273562,False,0.5810500699273562
D003,17,32,23,5,6,3,0.71875,0.5625,0.5780801154437449,3,0.5554552700671803,True,0.0
D003,18,34,20,2,2,2,0.5882352941176471,0.5294117647058824,0.5703660298352363,3,0.5554552700671803,False,0.5703660298352363
D003,19,49,32,4,4,4,0.6530612244897959,0.5714285714285714,0.570533026007569,3,0.5554552700671803,False,0.570533026007569
D003,20,41,26,2,3,3,0.6341463414634146,0.5853658536585366,0.5728476644561098,3,0.5554552700671803,False,0.5728476644561098
D003,21,47,30,3,2,5,0.6382978723404256,0.574468085106383,0.57309900822529,3,0.5554552700671803,False,0.57309900822529
D003,22,33,21,3,3,2,0.6363636363636364,0.5454545454545454,0.5688328709192778,3,0.5554552700671803,False,0.5688328709192778
D003,23,30,19,3,2,2,0.6333333333333333,0.5333333333333333,0.5633780992772521,3,0.5554552700671803,False,0.5633780992772521
D003,24,43,24,2,6,5,0.5581395348837209,0.5116279069767442,0.5554552700671803,3,0.5554552700671803,False,0.5554552700671803
D004,1,44,26,3,3,4,0.5909090909090909,0.5227272727272727,0.5227272727272727,1,0.6255782758068436,True,0.0
D004,2,41,27,4,3,4,0.6585365853658537,0.5609756097560976,0.5434020494996105,1,0.6255782758068436,False,0.5434020494996105
D004,3,49,36,4,3,7,0.7346938775510204,0.6530612244897959,0.5860295227708195,1,0.6255782758068436,False,0.5860295227708195
D004,4,29,17,0,1,2,0.5862068965517241,0.5862068965517241,0.5860851847269344,1,0.6255782758068436,False,0.5860851847269344
D004,5,37,22,4,3,2,0.5945945945945946,0.4864864864864865,0.559229266322955,1,0.6255782758068436,False,0.559229266322955
D004,6,40,28,3,0,4,0.7,0.625,0.5750687178431,1,0.6255782758068436,False,0.5750687178431
D004,7,38,29,3,2,4,0.7631578947368421,0.6842105263157895,0.5991645659349589,1,0.6255782758068436,False,0.5991645659349589
D004,8,22,19,3,1,3,0.8636363636363636,0.7272727272727273,0.6255782758068436,1,0.6255782758068436,False,0.6255782758068436
D004,9,30,21,2,2,2,0.7,0.6333333333333333,0.6270921803930347,2,0.579923825050568,True,0.0
D004,10,33,18,0,2,1,0.5454545454545454,0.5454545454545454,0.6118446956821022,2,0.579923825050568,False,0.6118446956821022
D004,11,33,23,1,2,2,0.696969696969697,0.6666666666666666,0.621720668687021,2,0.579923825050568,False,0.621720668687021
D004,12,24,14,1,3,3,0.5833333333333334,0.5416666666666666,0.6077212692024282,2,0.579923825050568,False,0.6077212692024282
D004,13,21,14,3,2,3,0.6666666666666666,0.5238095238095238,0.5934033981239367,2,0.579923825050568,False,0.5934033981239367
D004,14,39,23,3,4,3,0.5897435897435898,0.5128205128205128,0.5799314585505235,2,0.579923825050568,False,0.5799314585505235
D004,15,46,37,6,9,2,0.8043478260869565,0.6739130434782609,0.5953780184691789,2,0.579923825050568,False,0.5953780184691789
D004,16,30,17,2,1,1,0.5666666666666667,0.5,0.579923825050568,2,0.579923825050568,False,0.579923825050568
D004,17,41,29,1,3,2,0.7073170731707317,0.6829268292682927,0.5964150962640918,3,0.6095929816269797,True,0.0
D004,18,46,28,5,4,6,0.6086956521739131,0.5,0.5811330023517707,3,0.6095929816269797,False,0.5811330023517707
D004,19,26,21,6,0,3,0.8076923076923077,0.5769230769230769,0.5804713421995398,3,0.6095929816269797,False,0.5804713421995398
D004,20,36,24,2,4,4,0.6666666666666666,0.6111111111111112,0.5852526279291357,3,0.6095929816269797,False,0.5852526279291357
D004,21,25,19,1,2,3,0.76,0.72,0.6061533195968919,3,0.6095929816269797,False,0.6061533195968919
D004,22,49,32,4,2,9,0.6530612244897959,0.5714285714285714,0.6007945414274162,3,0.6095929816269797,False,0.6007945414274162
D004,23,22,14,1,0,2,0.6363636363636364,0.5909090909090909,0.5992755674118966,3,0.6095929816269797,False,0.5992755674118966
D004,24,30,21,1,4,1,0.7,0.6666666666666666,0.6095929816269797,3,0.6095929816269797,False,0.6095929816269797
D005,1,45,30,3,2,5,0.6666666666666666,0.6,0.6,1,0.551985645038376,True,0.0
D005,2,25,17,1,3,2,0.68,0.64,0.6216216216216215,1,0.551985645038376,False,0.6216216216216215
D005,3,36,26,3,3,3,0.7222222222222222,0.6388888888888888,0.6283338732318324,1,0.551985645038376,False,0.6283338732318324
D005,4,29,19,0,6,3,0.6551724137931034,0.6551724137931034,0.6367561195147403,1,0.551985645038376,False,0.6367561195147403
D005,5,36,22,3,4,5,0.6111111111111112,0.5277777777777778,0.6073710622279144,1,0.551985645038376,False,0.6073710622279144
D005,6,28,17,6,2,3,0.6071428571428571,0.39285714285714285,0.55571004772633,1,0.551985645038376,False,0.55571004772633
D005,7,25,18,3,2,5,0.72,0.6,0.565488188449086,1,0.551985645038376,False,0.565488188449086
D005,8,38,24,5,6,2,0.631578947368421,0.5,0.551985645038376,1,0.551985645038376,False,0.551985645038376
D005,9,25,14,0,3,2,0.56,0.56,0.5535501684078445,2,0.5753949408668383,True,0.0
D005,10,30,17,2,1,2,0.5666666666666667,0.5,0.5435485879519474,2,0.5753949408668383,False,0.5435485879519474
D005,11,27,18,3,3,1,0.6666666666666666,0.5555555555555556,0.5457115982522803,2,0.5753949408668383,False,0.5457115982522803
D005,12,41,29,3,3,4,0.7073170731707317,0.6341463414634146,0.5611765752338843,2,0.5753949408668383,False,0.5611765752338843
D005,13,36,25,3,0,2,0.6944444444444444,0.6111111111111112,0.5696969110189017,2,0.5753949408668383,False,0.5696969110189017
D005,14,27,19,2,1,3,0.7037037037037037,0.6296296296296297,0.579716531941557,2,0.5753949408668383,False,0.579716531941557
D005,15,26,17,1,3,3,0.6538461538461539,0.6153846153846154,0.5855788419729363,2,0.5753949408668383,False,0.5855788419729363
D005,16,44,25,2,4,4,0.5681818181818182,0.5227272727272727,0.5753949408668383,2,0.5753949408668383,False,0.5753949408668383
D005,17,38,24,2,3,4,0.631578947368421,0.5789473684210527,0.5759637014258907,3,0.5968785546638136,True,0.0
D005,18,40,27,2,2,5,0.675,0.625,0.5837361079157367,3,0.5968785546638136,False,0.5837361079157367
D005,19,49,35,3,2,3,0.7142857142857143,0.6530612244897959,0.5946317087910344,3,0.5968785546638136,False,0.5946317087910344
D005,20,20,14,2,0,2,0.7,0.6,0.5954694218372334,3,0.5968785546638136,False,0.5954694218372334
D005,21,33,24,2,3,8,0.7272727272727273,0.6666666666666666,0.6065128406357176,3,0.5968785546638136,False,0.6065128406357176
D005,22,21,14,2,1,3,0.6666666666666666,0.5714285714285714,0.6010985806097576,3,0.5968785546638136,False,0.6010985806097576
D005,23,20,14,2,3,5,0.7,0.6,0.6009297754149835,3,0.5968785546638136,False,0.6009297754149835
D005,24,47,30,3,8,3,0.6382978723404256,0.574468085106383,0.5968785546638136,3,0.5968785546638136,False,0.5968785546638136
D006,1,33,24,5,5,4,0.7272727272727273,0.5757575757575758,0.5757575757575758,1,0.5596062813353844,True,0.0
D006,2,31,23,2,5,3,0.7419354838709677,0.6774193548387096,0.6307098887744048,1,0.5596062813353844,False,0.6307098887744048
D006,3,35,23,2,2,1,0.6571428571428571,0.6,0.6187721283178822,1,0.5596062813353844,False,0.6187721283178822
D006,4,32,19,2,3,3,0.59375,0.53125,0.5913066661697216,1,0.5596062813353844,False,0.5913066661697216
D006,5,44,28,1,1,4,0.6363636363636364,0.6136363636363636,0.5973276739112279,1,0.5596062813353844,False,0.5973276739112279
D006,6,39,21,3,2,3,0.5384615384615384,0.46153846153846156,0.564625793818201,1,0.5596062813353844,False,0.564625793818201
D006,7,47,31,4,4,9,0.6595744680851063,0.574468085106383,0.5667987315684051,1,0.5596062813353844,False,0.5667987315684051
D006,8,47,26,1,2,5,0.5531914893617021,0.5319148936170213,0.5596062813353844,1,0.5596062813353844,False,0.5596062813353844
D006,9,41,28,2,2,5,0.6829268292682927,0.6341463414634146,0.5741576290845574,2,0.5690727934048952,True,0.0
D006,10,32,23,3,3,3,0.71875,0.625,0.5836534734189122,2,0.5690727934048952,False,0.5836534734189122
D006,11,31,16,2,2,5,0.5161290322580645,0.45161290322580644,0.5598668586117144,2,0.5690727934048952,False,0.5598668586117144
D006,12,47,35,4,7,5,0.7446808510638298,0.6595744680851063,0.5773031718683195,2,0.5690727934048952,False,0.5773031718683195
D006,13,49,24,0,4,4,0.4897959183673469,0.4897959183673469,0.5623717988144855,2,0.5690727934048952,False,0.5623717988144855
D006,14,43,32,4,2,3,0.7441860465116279,0.6511627906976745,0.5772159790992901,2,0.5690727934048952,False,0.5772159790992901
D006,15,36,18,0,2,0,0.5,0.5,0.5645249689535056,2,0.5690727934048952,False,0.5645249689535056
D006,16,27,17,1,1,3,0.6296296296296297,0.5925925925925926,0.5690727934048952,2,0.5690727934048952,False,0.5690727934048952
D006,17,23,13,1,1,2,0.5652173913043478,0.5217391304347826,0.5614944486808942,3,0.5960562779987795,True,0.0
D006,18,28,21,3,4,3,0.75,0.6428571428571429,0.5743906898458162,3,0.5960562779987795,False,0.5743906898458162
D006,19,29,18,0,1,2,0.6206896551724138,0.6206896551724138,0.5816673461583801,3,0.5960562779987795,False,0.5816673461583801
D006,20,27,17,2,0,1,0.6296296296296297,0.5555555555555556,0.5775926440239156,3,0.5960562779987795,False,0.5775926440239156
D006,21,22,14,2,1,2,0.6363636363636364,0.5454545454545454,0.5726076971662276,3,0.5960562779987795,False,0.5726076971662276
D006,22,31,20,1,3,1,0.6451612903225806,0.6129032258064516,0.578826167006758,3,0.5960562779987795,False,0.578826167006758
D006,23,42,30,5,4,10,0.7142857142857143,0.5952380952380952,0.5813479835371993,3,0.5960562779987795,False,0.5813479835371993
D006,24,31,23,2,4,1,0.7419354838709677,0.6774193548387096,0.5960562779987795,3,0.5960562779987795,False,0.5960562779987795
D007,1,26,16,2,6,4,0.6153846153846154,0.5384615384615384,0.5384615384615384,1,0.5291165852138812,True,0.0
D007,2,38,21,2,2,2,0.5526315789473685,0.5,0.5176715176715176,1,0.5291165852138812,False,0.5176715176715176
D007,3,43,31,5,5,3,0.7209302325581395,0.6046511627906976,0.5514828471639103,1,0.5291165852138812,False,0.5514828471639103
D007,4,30,20,5,1,5,0.6666666666666666,0.5,0.5353269307432739,1,0.5291165852138812,False,0.5353269307432739
D007,5,48,34,4,5,4,0.7083333333333334,0.625,0.5595064900501545,1,0.5291165852138812,False,0.5595064900501545
D007,6,27,17,2,2,6,0.6296296296296297,0.5555555555555556,0.5585549933602473,1,0.5291165852138812,False,0.5585549933602473
D007,7,43,27,4,4,2,0.627906976744186,0.5348837209302325,0.5533289540211854,1,0.5291165852138812,False,0.5533289540211854
D007,8,39,18,1,0,2,0.46153846153846156,0.4358974358974359,0.5291165852138812,1,0.5291165852138812,False,0.5291165852138812
D007,9,47,32,2,4,7,0.6808510638297872,0.6382978723404256,0.550430424697668,2,0.5899772680814974,True,0.0
D007,10,34,22,4,6,5,0.6470588235294118,0.5294117647058824,0.5465047634862609,2,0.5899772680814974,False,0.5465047634862609
D007,11,33,24,2,1,3,0.7272727272727273,0.6666666666666666,0.5681514808646544,2,0.5899772680814974,False,0.5681514808646544
D007,12,23,15,1,2,1,0.6521739130434783,0.6086956521739131,0.575241620477984,2,0.5899772680814974,False,0.575241620477984
D007,13,44,29,3,3,5,0.6590909090909091,0.5909090909090909,0.5779149628177042,2,0.5899772680814974,False,0.5779149628177042
D007,14,40,23,2,4,4,0.575,0.525,0.5690685783909698,2,0.5899772680814974,False,0.5690685783909698
D007,15,33,21,1,1,3,0.6363636363636364,0.6060606060606061,0.5751484883259953,2,0.5899772680814974,False,0.5751484883259953
D007,16,39,29,3,6,4,0.7435897435897436,0.6666666666666666,0.5899772680814974,2,0.5899772680814974,False,0.5899772680814974
D007,17,34,25,6,1,1,0.7352941176470589,0.5588235294117647,0.5849894062456249,3,0.5720384261894822,True,0.0
D007,18,33,19,2,5,3,0.5757575757575758,0.5151515151515151,0.5739198823671726,3,0.5720384261894822,False,0.5739198823671726
D007,19,25,19,3,2,5,0.76,0.64,0.5843054774169966,3,0.5720384261894822,False,0.5843054774169966
D007,20,45,28,4,3,5,0.6222222222222222,0.5333333333333333,0.576351357860237,3,0.5720384261894822,False,0.576351357860237
D007,21,25,15,3,1,3,0.6,0.48,0.5614062795892678,3,0.5720384261894822,False,0.5614062795892678
D007,22,44,30,5,5,5,0.6818181818181818,0.5681818181818182,0.5624518914428139,3,0.5720384261894822,False,0.5624518914428139
D007,23,37,23,4,4,6,0.6216216216216216,0.5135135135135135,0.5549321406435479,3,0.5720384261894822,False,0.5549321406435479
D007,24,33,24,2,3,8,0.7272727272727273,0.6666666666666666,0.5720384261894822,3,0.5720384261894822,False,0.5720384261894822
D008,1,42,26,3,2,5,0.6190476190476191,0.5476190476190477,0.5476190476190477,1,0.5768917230036312,True,0.0
D008,2,38,28,4,4,6,0.7368421052631579,0.631578947368421,0.5930027772133034,1,0.5768917230036312,False,0.5930027772133034
D008,3,38,26,4,3,3,0.6842105263157895,0.5789473684210527,0.5875390614534393,1,0.5768917230036312,False,0.5875390614534393
D008,4,23,12,2,1,3,0.5217391304347826,0.43478260869565216,0.5396023093229604,1,0.5768917230036312,False,0.5396023093229604
D008,5,26,14,2,0,2,0.5384615384615384,0.46153846153846156,0.5185530751116867,1,0.5768917230036312,False,0.5185530751116867
D008,6,30,19,1,1,2,0.6333333333333333,0.6,0.5381677965251349,1,0.5768917230036312,False,0.5381677965251349
D008,7,32,20,0,3,1,0.625,0.625,0.5573382282202931,1,0.5768917230036312,False,0.5573382282202931
D008,8,23,15,0,4,3,0.6521739130434783,0.6521739130434783,0.5768917230036312,1,0.5768917230036312,False,0.5768917230036312
D008,9,33,23,2,3,4,0.696969696969697,0.6363636363636364,0.5885015404779357,2,0.6156510449277953,True,0.0
D008,10,42,31,3,4,4,0.7380952380952381,0.6666666666666666,0.6031004637244112,2,0.6156510449277953,False,0.6031004637244112
D008,11,35,20,3,2,1,0.5714285714285714,0.4857142857142857,0.5819537828525211,2,0.6156510449277953,False,0.5819537828525211
D008,12,25,16,2,2,1,0.64,0.56,0.5781146271751784,2,0.6156510449277953,False,0.5781146271751784
D008,13,45,29,6,3,7,0.6444444444444445,0.5111111111111111,0.5666818092744311,2,0.6156510449277953,False,0.5666818092744311
D008,14,33,28,0,1,2,0.8484848484848485,0.8484848484848485,0.6137939659259585,2,0.6156510449277953,False,0.6137939659259585
D008,15,31,20,3,1,6,0.6451612903225806,0.5483870967741935,0.6030438692530706,2,0.6156510449277953,False,0.6030438692530706
D008,16,47,34,2,5,3,0.723404255319149,0.6808510638297872,0.6156510449277953,2,0.6156510449277953,False,0.6156510449277953
D008,17,45,32,1,1,5,0.7111111111111111,0.6888888888888889,0.627376772318262,3,0.6060973068402006,True,0.0
D008,18,37,20,1,4,5,0.5405405405405406,0.5135135135135135,0.6093290901435655,3,0.6060973068402006,False,0.6093290901435655
D008,19,37,22,3,0,5,0.5945945945945946,0.5135135135135135,0.5942700706685344,3,0.6060973068402006,False,0.5942700706685344
D008,20,47,30,5,6,5,0.6382978723404256,0.5319148936170213,0.5845396474703938,3,0.6060973068402006,False,0.5845396474703938
D008,21,41,25,3,3,1,0.6097560975609756,0.5365853658536586,0.5771014493161987,3,0.6060973068402006,False,0.5771014493161987
D008,22,28,20,2,4,6,0.7142857142857143,0.6428571428571429,0.5872489721537413,3,0.6060973068402006,False,0.5872489721537413
D008,23,24,17,1,3,2,0.7083333333333334,0.6666666666666666,0.5994520997819636,3,0.6060973068402006,False,0.5994520997819636
D008,24,28,19,1,2,2,0.6785714285714286,0.6428571428571429,0.6060973068402006,3,0.6060973068402006,False,0.6060973068402006
D009,1,33,20,1,11,3,0.6060606060606061,0.5757575757575758,0.5757575757575758,1,0.6011722269677574,True,0.0
D009,2,28,18,2,2,3,0.6428571428571429,0.5714285714285714,0.5734175734175734,1,0.6011722269677574,False,0.5734175734175734
D009,3,43,31,1,0,4,0.7209302325581395,0.6976744186046512,0.6217195540539496,1,0.6011722269677574,False,0.6217195540539496
D009,4,27,15,4,1,1,0.5555555555555556,0.4074074074074074,0.5544659090073746,1,0.6011722269677574,False,0.5544659090073746
D009,5,46,30,6,6,7,0.6521739130434783,0.5217391304347826,0.5456414192248997,1,0.6011722269677574,False,0.5456414192248997
D009,6,25,15,3,1,2,0.6,0.48,0.5298331102795912,1,0.6011722269677574,False,0.5298331102795912
D009,7,42,27,1,3,5,0.6428571428571429,0.6190476190476191,0.5495294968517647,1,0.6011722269677574,False,0.5495294968517647
D009,8,25,21,1,3,4,0.84,0.8,0.6011722269677574,1,0.6011722269677574,False,0.6011722269677574
D009,9,30,22,5,2,4,0.7333333333333333,0.5666666666666667,0.5944362194255202,2,0.5533711522033572,True,0.0
D009,10,25,13,3,4,2,0.52,0.4,0.5581213104356175,2,0.5533711522033572,False,0.5581213104356175
D009,11,39,19,3,4,2,0.48717948717948717,0.41025641025641024,0.531484001774168,2,0.5533711522033572,False,0.531484001774168
D009,12,27,15,3,1,1,0.5555555555555556,0.4444444444444444,0.5162630071546722,2,0.5533711522033572,False,0.5162630071546722
D009,13,44,32,7,4,9,0.7272727272727273,0.5681818181818182,0.5251219200440959,2,0.5533711522033572,False,0.5251219200440959
D009,14,49,30,2,4,7,0.6122448979591837,0.5714285714285714,0.5328635193545423,2,0.5533711522033572,False,0.5328635193545423
D009,15,25,15,1,4,4,0.6,0.56,0.537323598151828,2,0.5533711522033572,False,0.537323598151828
D009,16,44,30,2,3,8,0.6818181818181818,0.6363636363636364,0.5533711522033572,2,0.5533711522033572,False,0.5533711522033572
D009,17,27,18,2,1,1,0.6666666666666666,0.5925925925925926,0.5596506914823934,3,0.526465602969006,True,0.0
D009,18,48,34,2,4,8,0.7083333333333334,0.6666666666666666,0.5766130578156186,3,0.526465602969006,False,0.5766130578156186
D009,19,43,27,5,5,2,0.627906976744186,0.5116279069767442,0.5663995551004086,3,0.526465602969006,False,0.5663995551004086
D009,20,20,9,2,1,1,0.45,0.35,0.5326307591385782,3,0.526465602969006,False,0.5326307591385782
D009,21,22,16,5,4,2,0.7272727272727273,0.5,0.5275693956020665,3,0.526465602969006,False,0.5275693956020665
D009,22,26,12,2,0,1,0.46153846153846156,0.38461538461538464,0.5055085060716047,3,0.526465602969006,False,0.5055085060716047
D009,23,33,18,3,4,3,0.5454545454545454,0.45454545454545453,0.4976776489066933,3,0.526465602969006,False,0.4976776489066933
D009,24,35,25,1,0,3,0.7142857142857143,0.6857142857142857,0.526465602969006,3,0.526465602969006,False,0.526465602969006
D010,1,34,19,5,1,4,0.5588235294117647,0.4117647058823529,0.4117647058823529,1,0.5527256255133203,True,0.0
D010,2,29,22,5,1,5,0.7586206896551724,0.5862068965517241,0.5060577819198508,1,0.5527256255133203,False,0.5060577819198508
D010,3,44,30,2,4,4,0.6818181818181818,0.6363636363636364,0.5567111752896411,1,0.5527256255133203,False,0.5567111752896411
D010,4,44,26,3,4,6,0.5909090909090909,0.5227272727272727,0.5460466312776007,1,0.5527256255133203,False,0.5460466312776007
D010,5,40,25,6,4,5,0.625,0.475,0.5268895281610261,1,0.5527256255133203,False,0.5268895281610261
D010,6,49,34,2,6,4,0.6938775510204082,0.6530612244897959,0.5572752385748286,1,0.5527256255133203,False,0.5572752385748286
D010,7,46,32,2,5,5,0.6956521739130435,0.6521739130434783,0.5782265502317867,1,0.5527256255133203,False,0.5782265502317867
D010,8,44,24,4,4,3,0.5454545454545454,0.45454545454545453,0.5527256255133203,1,0.5527256255133203,False,0.5527256255133203
D010,9,42,34,4,0,4,0.8095238095238095,0.7142857142857143,0.5842645997249915,2,0.5753840278189541,True,0.0
D010,10,43,25,7,0,7,0.5813953488372093,0.4186046511627907,0.5533242431747412,2,0.5753840278189541,False,0.5533242431747412
